t,x,y,z
2021/10/17 19:30:47.324,-0.047607421875,-0.3177337646484375,-0.919342041015625
2021/10/17 19:30:47.334,-0.0585784912109375,-0.3250885009765625,-0.920013427734375
2021/10/17 19:30:47.344,-0.06976318359375,-0.327880859375,-0.923614501953125
2021/10/17 19:30:47.354,-0.06829833984375,-0.32672119140625,-0.9318084716796875
2021/10/17 19:30:47.364,-0.0623016357421875,-0.325592041015625,-0.9461822509765625
2021/10/17 19:30:47.374,-0.0565338134765625,-0.3233642578125,-0.95782470703125
2021/10/17 19:30:47.385,-0.05731201171875,-0.3206329345703125,-0.962890625
2021/10/17 19:30:47.394,-0.0606842041015625,-0.3186187744140625,-0.9652252197265625
2021/10/17 19:30:47.404,-0.0599517822265625,-0.318115234375,-0.96331787109375
2021/10/17 19:30:47.414,-0.0631103515625,-0.317138671875,-0.954376220703125
2021/10/17 19:30:47.424,-0.0651702880859375,-0.3161773681640625,-0.9469451904296875
2021/10/17 19:30:47.434,-0.071044921875,-0.31744384765625,-0.9484710693359375
2021/10/17 19:30:47.444,-0.072540283203125,-0.3155975341796875,-0.9538421630859375
2021/10/17 19:30:47.454,-0.0674896240234375,-0.31256103515625,-0.955718994140625
2021/10/17 19:30:47.464,-0.0648345947265625,-0.3105316162109375,-0.9591827392578125
2021/10/17 19:30:47.474,-0.0668487548828125,-0.30889892578125,-0.967193603515625
2021/10/17 19:30:47.485,-0.06915283203125,-0.3090362548828125,-0.9735870361328125
2021/10/17 19:30:47.495,-0.0652618408203125,-0.311309814453125,-0.968902587890625
2021/10/17 19:30:47.505,-0.0579376220703125,-0.3131561279296875,-0.9605712890625
2021/10/17 19:30:47.515,-0.055572509765625,-0.3130645751953125,-0.9500732421875
2021/10/17 19:30:47.525,-0.0551910400390625,-0.3145904541015625,-0.9368438720703125
2021/10/17 19:30:47.535,-0.0537109375,-0.3173675537109375,-0.922027587890625
2021/10/17 19:30:47.545,-0.0521087646484375,-0.3184661865234375,-0.9119415283203125
2021/10/17 19:30:47.555,-0.05352783203125,-0.3191986083984375,-0.9132843017578125
2021/10/17 19:30:47.565,-0.0537567138671875,-0.3189544677734375,-0.9217529296875
2021/10/17 19:30:47.575,-0.053009033203125,-0.315521240234375,-0.929229736328125
2021/10/17 19:30:47.585,-0.0570526123046875,-0.313507080078125,-0.939117431640625
2021/10/17 19:30:47.595,-0.0623321533203125,-0.3121337890625,-0.94805908203125
2021/10/17 19:30:47.605,-0.0634765625,-0.313568115234375,-0.9517059326171875
2021/10/17 19:30:47.615,-0.061859130859375,-0.3162689208984375,-0.942901611328125
2021/10/17 19:30:47.625,-0.057861328125,-0.3179931640625,-0.93524169921875
2021/10/17 19:30:47.635,-0.05712890625,-0.319061279296875,-0.9282379150390625
2021/10/17 19:30:47.645,-0.0546722412109375,-0.320648193359375,-0.9195556640625
2021/10/17 19:30:47.655,-0.047821044921875,-0.3261260986328125,-0.9188385009765625
2021/10/17 19:30:47.666,-0.0323333740234375,-0.332366943359375,-0.915740966796875
2021/10/17 19:30:47.676,-0.0001983642578125,-0.3694000244140625,-0.909576416015625
2021/10/17 19:30:47.686,0.0162200927734375,-0.4944305419921875,-0.929718017578125
2021/10/17 19:30:47.696,0.02606201171875,-0.705902099609375,-0.9930877685546875
2021/10/17 19:30:47.706,-0.0080108642578125,-0.970550537109375,-1.1030731201171875
2021/10/17 19:30:47.716,-0.0872039794921875,-1.2111663818359375,-1.2023162841796875
2021/10/17 19:30:47.726,-0.1783447265625,-1.39349365234375,-1.34039306640625
2021/10/17 19:30:47.736,-0.2718505859375,-1.5044097900390625,-1.539825439453125
2021/10/17 19:30:47.746,-0.3627777099609375,-1.5207672119140625,-1.7574920654296875
2021/10/17 19:30:47.756,-0.430816650390625,-1.43341064453125,-1.9180908203125
2021/10/17 19:30:47.766,-0.4763336181640625,-1.2877349853515625,-1.983154296875
2021/10/17 19:30:47.776,-0.463409423828125,-1.1125640869140625,-1.955413818359375
2021/10/17 19:30:47.786,-0.401092529296875,-0.8959503173828125,-1.83062744140625
2021/10/17 19:30:47.796,-0.291351318359375,-0.694732666015625,-1.6598358154296875
2021/10/17 19:30:47.806,-0.21380615234375,-0.4287261962890625,-1.457305908203125
2021/10/17 19:30:47.816,-0.150299072265625,-0.1108856201171875,-1.165679931640625
2021/10/17 19:30:47.826,-0.04443359375,0.128448486328125,-0.827484130859375
2021/10/17 19:30:47.836,0.0945587158203125,0.353759765625,-0.4970855712890625
2021/10/17 19:30:47.846,0.2147674560546875,0.538238525390625,-0.23052978515625
2021/10/17 19:30:47.857,0.2435455322265625,0.6975555419921875,-0.0587005615234375
2021/10/17 19:30:47.867,0.20916748046875,0.8356781005859375,0.067596435546875
2021/10/17 19:30:47.877,0.1403045654296875,0.92071533203125,0.1458282470703125
2021/10/17 19:30:47.887,0.0661468505859375,0.9487762451171875,0.0925445556640625
2021/10/17 19:30:47.897,0.047943115234375,0.9616546630859375,-0.066436767578125
2021/10/17 19:30:47.907,0.1034698486328125,0.96405029296875,-0.2703094482421875
2021/10/17 19:30:47.917,0.18487548828125,0.9171295166015625,-0.49139404296875
2021/10/17 19:30:47.927,0.2273101806640625,0.8336639404296875,-0.6503753662109375
2021/10/17 19:30:47.937,0.209930419921875,0.7275543212890625,-0.704620361328125
2021/10/17 19:30:47.947,0.1383514404296875,0.602203369140625,-0.7000579833984375
2021/10/17 19:30:47.957,0.05322265625,0.4493865966796875,-0.685211181640625
2021/10/17 19:30:47.967,-0.024017333984375,0.2637481689453125,-0.69775390625
2021/10/17 19:30:47.977,-0.093505859375,0.068450927734375,-0.741851806640625
2021/10/17 19:30:47.987,-0.1351165771484375,-0.136627197265625,-0.7946624755859375
2021/10/17 19:30:47.997,-0.1304473876953125,-0.3366851806640625,-0.83123779296875
2021/10/17 19:30:48.007,-0.1156768798828125,-0.493560791015625,-0.83837890625
2021/10/17 19:30:48.017,-0.1009979248046875,-0.623260498046875,-0.84716796875
2021/10/17 19:30:48.027,-0.1113433837890625,-0.723052978515625,-0.89996337890625
2021/10/17 19:30:48.037,-0.16265869140625,-0.7861480712890625,-0.976959228515625
2021/10/17 19:30:48.048,-0.2068634033203125,-0.83148193359375,-1.05828857421875
2021/10/17 19:30:48.058,-0.2360382080078125,-0.85076904296875,-1.1126861572265625
2021/10/17 19:30:48.067,-0.2437591552734375,-0.84014892578125,-1.1517181396484375
2021/10/17 19:30:48.078,-0.211334228515625,-0.8205718994140625,-1.1840057373046875
2021/10/17 19:30:48.088,-0.1734771728515625,-0.783111572265625,-1.2071990966796875
2021/10/17 19:30:48.098,-0.1537628173828125,-0.741241455078125,-1.2234039306640625
2021/10/17 19:30:48.108,-0.1279754638671875,-0.703338623046875,-1.24078369140625
2021/10/17 19:30:48.118,-0.10699462890625,-0.6749725341796875,-1.25299072265625
2021/10/17 19:30:48.128,-0.1021728515625,-0.6427001953125,-1.2611541748046875
2021/10/17 19:30:48.138,-0.095611572265625,-0.62109375,-1.23883056640625
2021/10/17 19:30:48.148,-0.0771636962890625,-0.613555908203125,-1.192657470703125
2021/10/17 19:30:48.158,-0.0863494873046875,-0.590728759765625,-1.1369476318359375
2021/10/17 19:30:48.168,-0.10784912109375,-0.564361572265625,-1.0735626220703125
2021/10/17 19:30:48.178,-0.1209259033203125,-0.545623779296875,-1.028411865234375
2021/10/17 19:30:48.189,-0.12432861328125,-0.518310546875,-1.0090179443359375
2021/10/17 19:30:48.198,-0.1070098876953125,-0.493011474609375,-0.9970550537109375
2021/10/17 19:30:48.208,-0.077178955078125,-0.470184326171875,-0.9863739013671875
2021/10/17 19:30:48.219,-0.0698394775390625,-0.4399261474609375,-0.981903076171875
2021/10/17 19:30:48.229,-0.106842041015625,-0.420166015625,-1.0131988525390625
2021/10/17 19:30:48.239,-0.0645599365234375,-0.413543701171875,-1.009521484375
2021/10/17 19:30:48.249,-0.0746002197265625,-0.372100830078125,-1.03887939453125
2021/10/17 19:30:48.259,-0.079071044921875,-0.3612823486328125,-1.066925048828125
2021/10/17 19:30:48.269,-0.0690155029296875,-0.35498046875,-1.06439208984375
2021/10/17 19:30:48.279,-0.073883056640625,-0.3415679931640625,-1.049560546875
2021/10/17 19:30:48.289,-0.06707763671875,-0.34185791015625,-1.025665283203125
2021/10/17 19:30:48.299,-0.0613861083984375,-0.339935302734375,-1.004180908203125
2021/10/17 19:30:48.309,-0.0723419189453125,-0.3348236083984375,-0.9682159423828125
2021/10/17 19:30:48.319,-0.0832977294921875,-0.33197021484375,-0.948638916015625
2021/10/17 19:30:48.329,-0.07940673828125,-0.318634033203125,-0.9405364990234375
2021/10/17 19:30:48.339,-0.0810546875,-0.326019287109375,-0.9337921142578125
2021/10/17 19:30:48.349,-0.0802764892578125,-0.3196258544921875,-0.9384002685546875
2021/10/17 19:30:48.359,-0.0750579833984375,-0.3172760009765625,-0.953857421875
2021/10/17 19:30:48.369,-0.07196044921875,-0.3112030029296875,-0.9686126708984375
2021/10/17 19:30:48.379,-0.069366455078125,-0.306732177734375,-0.9713134765625
2021/10/17 19:30:48.390,-0.0605926513671875,-0.30718994140625,-0.956207275390625
2021/10/17 19:30:48.399,-0.052337646484375,-0.3083038330078125,-0.9409637451171875
2021/10/17 19:30:48.410,-0.046112060546875,-0.3118438720703125,-0.930755615234375
2021/10/17 19:30:48.420,-0.0500335693359375,-0.31298828125,-0.92462158203125
2021/10/17 19:30:48.430,-0.065948486328125,-0.316314697265625,-0.9243927001953125
2021/10/17 19:30:48.440,-0.07342529296875,-0.320068359375,-0.923187255859375
2021/10/17 19:30:48.450,-0.072052001953125,-0.3173370361328125,-0.92108154296875
2021/10/17 19:30:48.460,-0.0680999755859375,-0.3234100341796875,-0.9305877685546875
2021/10/17 19:30:48.470,-0.064605712890625,-0.31671142578125,-0.941070556640625
2021/10/17 19:30:48.480,-0.0633544921875,-0.31439208984375,-0.9554290771484375
2021/10/17 19:30:48.490,-0.0672149658203125,-0.3146820068359375,-0.95855712890625
2021/10/17 19:30:48.500,-0.0708770751953125,-0.3159332275390625,-0.9507293701171875
2021/10/17 19:30:48.510,-0.0679931640625,-0.3176422119140625,-0.9411773681640625
2021/10/17 19:30:48.520,-0.064361572265625,-0.32049560546875,-0.9267425537109375
2021/10/17 19:30:48.530,-0.0616912841796875,-0.3204193115234375,-0.9185638427734375
2021/10/17 19:30:48.541,-0.0620880126953125,-0.3185577392578125,-0.9239501953125
2021/10/17 19:30:48.550,-0.06732177734375,-0.3182830810546875,-0.929443359375
2021/10/17 19:30:48.560,-0.066864013671875,-0.3170318603515625,-0.93511962890625
2021/10/17 19:30:48.570,-0.05889892578125,-0.318084716796875,-0.9449462890625
2021/10/17 19:30:48.580,-0.0589599609375,-0.31744384765625,-0.9510650634765625
2021/10/17 19:30:48.591,-0.0699920654296875,-0.316314697265625,-0.9566802978515625
2021/10/17 19:30:48.601,-0.08416748046875,-0.316314697265625,-0.9582672119140625
2021/10/17 19:30:48.611,-0.0902099609375,-0.3177490234375,-0.952423095703125
2021/10/17 19:30:48.621,-0.0848541259765625,-0.318023681640625,-0.9500885009765625
2021/10/17 19:30:48.631,-0.0750274658203125,-0.3174285888671875,-0.949249267578125
2021/10/17 19:30:48.641,-0.06951904296875,-0.3148345947265625,-0.9494781494140625
2021/10/17 19:30:48.651,-0.069091796875,-0.30889892578125,-0.9449615478515625
2021/10/17 19:30:48.661,-0.0709991455078125,-0.3103179931640625,-0.9423828125
2021/10/17 19:30:48.671,-0.0700836181640625,-0.3102264404296875,-0.9420166015625
2021/10/17 19:30:48.681,-0.0723114013671875,-0.3116607666015625,-0.9416961669921875
2021/10/17 19:30:48.691,-0.0721588134765625,-0.315765380859375,-0.911468505859375
2021/10/17 19:30:48.701,-0.075286865234375,-0.317169189453125,-0.8721466064453125
2021/10/17 19:30:48.711,-0.061553955078125,-0.322662353515625,-0.879913330078125
2021/10/17 19:30:48.721,-0.043304443359375,-0.3016204833984375,-0.926666259765625
2021/10/17 19:30:48.731,-0.051788330078125,-0.2967376708984375,-0.9666290283203125
2021/10/17 19:30:48.741,-0.079010009765625,-0.3014678955078125,-0.9974822998046875
2021/10/17 19:30:48.751,-0.0702972412109375,-0.31378173828125,-0.9757080078125
2021/10/17 19:30:48.761,-0.059051513671875,-0.3116912841796875,-0.959503173828125
2021/10/17 19:30:48.771,-0.0640869140625,-0.32159423828125,-0.9558258056640625
2021/10/17 19:30:48.781,-0.07666015625,-0.3216094970703125,-0.9542083740234375
