t,x,y,z
2021/10/17 19:32:55.146,-0.09661865234375,-0.307830810546875,-0.967559814453125
2021/10/17 19:32:55.156,-0.100341796875,-0.308807373046875,-0.957275390625
2021/10/17 19:32:55.166,-0.09906005859375,-0.3114776611328125,-0.9512481689453125
2021/10/17 19:32:55.176,-0.0980072021484375,-0.3141632080078125,-0.9465179443359375
2021/10/17 19:32:55.186,-0.09576416015625,-0.31585693359375,-0.93792724609375
2021/10/17 19:32:55.196,-0.09271240234375,-0.3167572021484375,-0.928192138671875
2021/10/17 19:32:55.206,-0.091033935546875,-0.3215789794921875,-0.920684814453125
2021/10/17 19:32:55.216,-0.0919189453125,-0.3212127685546875,-0.9196929931640625
2021/10/17 19:32:55.226,-0.096893310546875,-0.318023681640625,-0.930450439453125
2021/10/17 19:32:55.237,-0.0998077392578125,-0.312347412109375,-0.9409332275390625
2021/10/17 19:32:55.247,-0.0991973876953125,-0.306854248046875,-0.9496917724609375
2021/10/17 19:32:55.257,-0.0984649658203125,-0.3047637939453125,-0.951171875
2021/10/17 19:32:55.267,-0.0970306396484375,-0.3051910400390625,-0.9506378173828125
2021/10/17 19:32:55.277,-0.1003875732421875,-0.3065032958984375,-0.9503173828125
2021/10/17 19:32:55.287,-0.1048583984375,-0.3057861328125,-0.952972412109375
2021/10/17 19:32:55.297,-0.10516357421875,-0.3045196533203125,-0.959564208984375
2021/10/17 19:32:55.307,-0.10528564453125,-0.3046417236328125,-0.960235595703125
2021/10/17 19:32:55.317,-0.1040496826171875,-0.3038330078125,-0.9542236328125
2021/10/17 19:32:55.327,-0.1046600341796875,-0.3026275634765625,-0.9459991455078125
2021/10/17 19:32:55.337,-0.102569580078125,-0.30230712890625,-0.9405059814453125
2021/10/17 19:32:55.347,-0.10223388671875,-0.302459716796875,-0.935394287109375
2021/10/17 19:32:55.357,-0.10028076171875,-0.30352783203125,-0.9339447021484375
2021/10/17 19:32:55.367,-0.0984649658203125,-0.3013458251953125,-0.9405517578125
2021/10/17 19:32:55.377,-0.099761962890625,-0.3028411865234375,-0.9503631591796875
2021/10/17 19:32:55.387,-0.096649169921875,-0.3029937744140625,-0.9531707763671875
2021/10/17 19:32:55.397,-0.0908355712890625,-0.3042449951171875,-0.95135498046875
2021/10/17 19:32:55.407,-0.0917205810546875,-0.3067779541015625,-0.9455718994140625
2021/10/17 19:32:55.417,-0.0969696044921875,-0.308258056640625,-0.940765380859375
2021/10/17 19:32:55.427,-0.1023101806640625,-0.310699462890625,-0.9441070556640625
2021/10/17 19:32:55.438,-0.1044464111328125,-0.3120574951171875,-0.9472198486328125
2021/10/17 19:32:55.448,-0.0989990234375,-0.3134765625,-0.945770263671875
2021/10/17 19:32:55.457,-0.0929412841796875,-0.3138275146484375,-0.94329833984375
2021/10/17 19:32:55.468,-0.0946502685546875,-0.3115081787109375,-0.942596435546875
2021/10/17 19:32:55.478,-0.097381591796875,-0.3121490478515625,-0.9439239501953125
2021/10/17 19:32:55.488,-0.0945892333984375,-0.311676025390625,-0.94464111328125
2021/10/17 19:32:55.498,-0.090179443359375,-0.31146240234375,-0.9490509033203125
2021/10/17 19:32:55.508,-0.085113525390625,-0.3116607666015625,-0.949554443359375
2021/10/17 19:32:55.518,-0.08203125,-0.3128662109375,-0.9391021728515625
2021/10/17 19:32:55.528,-0.0776214599609375,-0.316070556640625,-0.9144744873046875
2021/10/17 19:32:55.538,-0.0760955810546875,-0.310211181640625,-0.8943023681640625
2021/10/17 19:32:55.548,-0.08135986328125,-0.305908203125,-0.8950958251953125
2021/10/17 19:32:55.558,-0.098663330078125,-0.306396484375,-0.890777587890625
2021/10/17 19:32:55.568,-0.1257781982421875,-0.27880859375,-0.86773681640625
2021/10/17 19:32:55.578,-0.1514892578125,-0.2603759765625,-0.84979248046875
2021/10/17 19:32:55.588,-0.206329345703125,-0.237640380859375,-0.834686279296875
2021/10/17 19:32:55.598,-0.2708587646484375,-0.20733642578125,-0.68603515625
2021/10/17 19:32:55.608,-0.315399169921875,-0.2416839599609375,-0.536468505859375
2021/10/17 19:32:55.618,-0.2874908447265625,-0.281585693359375,-0.37078857421875
2021/10/17 19:32:55.629,-0.209075927734375,-0.3159942626953125,-0.2171478271484375
2021/10/17 19:32:55.639,-0.1116943359375,-0.3208770751953125,-0.1187744140625
2021/10/17 19:32:55.649,-0.02093505859375,-0.3189239501953125,-0.0152740478515625
2021/10/17 19:32:55.659,0.066864013671875,-0.3453521728515625,0.06695556640625
2021/10/17 19:32:55.669,0.133453369140625,-0.319122314453125,0.1787567138671875
2021/10/17 19:32:55.679,0.12384033203125,-0.3121337890625,0.2806549072265625
2021/10/17 19:32:55.689,0.0573883056640625,-0.299591064453125,0.3119354248046875
2021/10/17 19:32:55.699,0.002777099609375,-0.2575531005859375,0.2095947265625
2021/10/17 19:32:55.709,-0.0670318603515625,-0.1533355712890625,-0.0489349365234375
2021/10/17 19:32:55.719,-0.127227783203125,-0.027099609375,-0.514801025390625
2021/10/17 19:32:55.729,-0.141571044921875,0.1257781982421875,-1.148895263671875
2021/10/17 19:32:55.739,-0.1241607666015625,0.2611846923828125,-1.8741302490234375
2021/10/17 19:32:55.749,-0.0579986572265625,0.3292083740234375,-2.5315704345703125
2021/10/17 19:32:55.760,-0.01275634765625,0.344879150390625,-2.908172607421875
2021/10/17 19:32:55.769,-0.0081634521484375,0.29022216796875,-2.997222900390625
2021/10/17 19:32:55.779,-0.0336456298828125,0.2062835693359375,-2.9229736328125
2021/10/17 19:32:55.790,-0.0704193115234375,0.1283111572265625,-2.789581298828125
2021/10/17 19:32:55.800,-0.1246185302734375,0.0474853515625,-2.6666259765625
2021/10/17 19:32:55.810,-0.14849853515625,-0.00311279296875,-2.54510498046875
2021/10/17 19:32:55.820,-0.10662841796875,-0.0411376953125,-2.4126739501953125
2021/10/17 19:32:55.830,-0.040985107421875,-0.070465087890625,-2.245758056640625
2021/10/17 19:32:55.840,-0.011505126953125,-0.0811309814453125,-2.03802490234375
2021/10/17 19:32:55.850,-0.0400238037109375,-0.0748291015625,-1.79998779296875
2021/10/17 19:32:55.860,-0.0986328125,-0.0681915283203125,-1.574493408203125
2021/10/17 19:32:55.870,-0.1476593017578125,-0.06219482421875,-1.3910369873046875
2021/10/17 19:32:55.880,-0.17266845703125,-0.060272216796875,-1.22503662109375
2021/10/17 19:32:55.890,-0.167449951171875,-0.0614166259765625,-1.075439453125
2021/10/17 19:32:55.900,-0.1419219970703125,-0.0743408203125,-0.940704345703125
2021/10/17 19:32:55.910,-0.128448486328125,-0.0922393798828125,-0.800079345703125
2021/10/17 19:32:55.920,-0.1053924560546875,-0.1192779541015625,-0.6722259521484375
2021/10/17 19:32:55.930,-0.0820159912109375,-0.146820068359375,-0.5514068603515625
2021/10/17 19:32:55.940,-0.06695556640625,-0.1834259033203125,-0.4360809326171875
2021/10/17 19:32:55.950,-0.0547943115234375,-0.218963623046875,-0.3527984619140625
2021/10/17 19:32:55.960,-0.060028076171875,-0.2494354248046875,-0.3092193603515625
2021/10/17 19:32:55.970,-0.08099365234375,-0.2737579345703125,-0.2848968505859375
