t,x,y,z
2021/10/17 19:31:49.788,-0.088043212890625,-0.3103790283203125,-0.9910125732421875
2021/10/17 19:31:49.798,-0.0863189697265625,-0.307952880859375,-0.9900665283203125
2021/10/17 19:31:49.809,-0.085052490234375,-0.3062896728515625,-0.988128662109375
2021/10/17 19:31:49.818,-0.083404541015625,-0.3070220947265625,-0.979644775390625
2021/10/17 19:31:49.828,-0.0778045654296875,-0.3093109130859375,-0.9707794189453125
2021/10/17 19:31:49.839,-0.0690155029296875,-0.31195068359375,-0.9611358642578125
2021/10/17 19:31:49.849,-0.0634307861328125,-0.3136749267578125,-0.95281982421875
2021/10/17 19:31:49.859,-0.059967041015625,-0.3147735595703125,-0.949462890625
2021/10/17 19:31:49.869,-0.0599212646484375,-0.3163604736328125,-0.94976806640625
2021/10/17 19:31:49.879,-0.0613861083984375,-0.31689453125,-0.951171875
2021/10/17 19:31:49.889,-0.063751220703125,-0.31927490234375,-0.9478759765625
2021/10/17 19:31:49.899,-0.066070556640625,-0.3212432861328125,-0.93951416015625
2021/10/17 19:31:49.909,-0.0691986083984375,-0.3238983154296875,-0.9284820556640625
2021/10/17 19:31:49.919,-0.0712127685546875,-0.3238067626953125,-0.924041748046875
2021/10/17 19:31:49.929,-0.0754852294921875,-0.3205413818359375,-0.9295501708984375
2021/10/17 19:31:49.940,-0.0766754150390625,-0.3162384033203125,-0.939788818359375
2021/10/17 19:31:49.949,-0.079132080078125,-0.3129730224609375,-0.948333740234375
2021/10/17 19:31:49.959,-0.0789337158203125,-0.309356689453125,-0.9502716064453125
2021/10/17 19:31:49.970,-0.0761566162109375,-0.306182861328125,-0.953033447265625
2021/10/17 19:31:49.979,-0.07818603515625,-0.300933837890625,-0.947418212890625
2021/10/17 19:31:49.990,-0.0843658447265625,-0.2919769287109375,-0.9404144287109375
2021/10/17 19:31:50.000,-0.0988616943359375,-0.2728424072265625,-0.93768310546875
2021/10/17 19:31:50.010,-0.1238555908203125,-0.223876953125,-0.9253082275390625
2021/10/17 19:31:50.019,-0.153076171875,-0.1407928466796875,-0.904632568359375
2021/10/17 19:31:50.029,-0.170166015625,-0.0219573974609375,-0.8697052001953125
2021/10/17 19:31:50.040,-0.16607666015625,0.1018829345703125,-0.8277130126953125
2021/10/17 19:31:50.050,-0.1568145751953125,0.2121429443359375,-0.793182373046875
2021/10/17 19:31:50.060,-0.14208984375,0.3489532470703125,-0.7539215087890625
2021/10/17 19:31:50.070,-0.061309814453125,0.4952392578125,-0.7099761962890625
2021/10/17 19:31:50.080,0.1123046875,0.602691650390625,-0.6766510009765625
2021/10/17 19:31:50.090,0.307220458984375,0.6411285400390625,-0.6616668701171875
2021/10/17 19:31:50.100,0.453033447265625,0.6348724365234375,-0.6492767333984375
2021/10/17 19:31:50.110,0.5455322265625,0.5731658935546875,-0.6329498291015625
2021/10/17 19:31:50.120,0.548919677734375,0.408447265625,-0.6563873291015625
2021/10/17 19:31:50.131,0.4008026123046875,0.2230377197265625,-0.7195587158203125
2021/10/17 19:31:50.140,0.1780242919921875,0.03240966796875,-0.8022308349609375
2021/10/17 19:31:50.150,-0.0326995849609375,-0.2096405029296875,-0.9080352783203125
2021/10/17 19:31:50.161,-0.2881622314453125,-0.4706573486328125,-1.02105712890625
2021/10/17 19:31:50.170,-0.5390472412109375,-0.7331695556640625,-1.156158447265625
2021/10/17 19:31:50.181,-0.7034759521484375,-1.0153656005859375,-1.29132080078125
2021/10/17 19:31:50.190,-0.8319549560546875,-1.246826171875,-1.4110565185546875
2021/10/17 19:31:50.201,-0.9407958984375,-1.37066650390625,-1.4994354248046875
2021/10/17 19:31:50.211,-0.98785400390625,-1.43145751953125,-1.5438079833984375
2021/10/17 19:31:50.221,-0.9595947265625,-1.4295196533203125,-1.5447540283203125
2021/10/17 19:31:50.231,-0.88848876953125,-1.3755340576171875,-1.526458740234375
2021/10/17 19:31:50.241,-0.8184051513671875,-1.2629241943359375,-1.4923095703125
2021/10/17 19:31:50.251,-0.7316436767578125,-1.108917236328125,-1.44635009765625
2021/10/17 19:31:50.261,-0.618621826171875,-0.9316864013671875,-1.40570068359375
2021/10/17 19:31:50.271,-0.4839630126953125,-0.7376556396484375,-1.36712646484375
2021/10/17 19:31:50.281,-0.342681884765625,-0.553924560546875,-1.32379150390625
2021/10/17 19:31:50.291,-0.20916748046875,-0.396484375,-1.272674560546875
2021/10/17 19:31:50.301,-0.097625732421875,-0.2716217041015625,-1.2155914306640625
2021/10/17 19:31:50.311,-0.01171875,-0.1729736328125,-1.15142822265625
2021/10/17 19:31:50.321,0.04248046875,-0.0892333984375,-1.0747833251953125
2021/10/17 19:31:50.331,0.0665283203125,-0.033905029296875,-0.991058349609375
2021/10/17 19:31:50.341,0.0654449462890625,0.00982666015625,-0.9108734130859375
2021/10/17 19:31:50.352,0.056121826171875,0.0469970703125,-0.8498382568359375
2021/10/17 19:31:50.361,0.053131103515625,0.0750274658203125,-0.823211669921875
2021/10/17 19:31:50.372,0.0591888427734375,0.0924072265625,-0.8243255615234375
2021/10/17 19:31:50.382,0.0725250244140625,0.101287841796875,-0.828277587890625
2021/10/17 19:31:50.392,0.086151123046875,0.0978240966796875,-0.839874267578125
2021/10/17 19:31:50.402,0.0812835693359375,0.0862579345703125,-0.856719970703125
2021/10/17 19:31:50.412,0.0644378662109375,0.07281494140625,-0.8653411865234375
2021/10/17 19:31:50.422,0.045318603515625,0.0528106689453125,-0.8748931884765625
2021/10/17 19:31:50.432,0.0262908935546875,0.025665283203125,-0.8805389404296875
